MC	<p>a1d7_c81c</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> cannot form a double-stranded helix	Incorrect	the <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> sugar is dexoyribose, <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a different sugar	Correct	thymine in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of uracil in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a negative charge, <strong><span style="color: OrangeRed;">RNA</span></strong> has a positive charge	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually double-stranded (duplex)	Incorrect
MC	<p>a10a_c61d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong>?</p>	Both double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> and double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> have major and minor grooves	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> can form a double-stranded helix, but <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> cannot	Correct	uracil in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of thymine in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	the <strong><span style="color: MediumBlue;">DNA</span></strong> sugar is dexoyribose, <strong><span style="color: OrangeRed;">RNA</span></strong> has a different sugar	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex)	Incorrect
MC	<p>c00b_91eb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex), whereas <strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex)	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> have a negative charge	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix	Incorrect	thymine in <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> takes the place of adenine in <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong>	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> contains one less hydroxyl (-OH) group than <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect
MC	<p>ada6_dbf3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a sugar-phosphate backbone, <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> does not	Correct	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex)	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a regular consistent structure	Incorrect
MC	<p>ada6_2b42</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of uracil in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix	Incorrect	<strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a positive charge, <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a negative charge	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> has a regular consistent structure	Incorrect	Both double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> and double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> have major and minor grooves	Incorrect
MC	<p>3629_5dee</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> nucleotides are missing the 2&prime; hydroxide (-OH) group compared to <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	double-stranded <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> is mostly in the B-form helix	Correct	the <strong><span style="color: MediumBlue;">DNA</span></strong> sugar is ribose, <strong><span style="color: OrangeRed;">RNA</span></strong> has a different sugar	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> is made of nucleotides, <strong><span style="color: MediumBlue;">DNA</span></strong> is made of amino acids	Incorrect
MC	<p>b52b_a1d5</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong>?</p>	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of uracil in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	Both <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> and <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> have a positive charge	Correct	Both double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> and double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> have major and minor grooves	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a regular consistent structure, whereas <strong><span style="color: OrangeRed;">RNA</span></strong> adopts a wide variety of tertiary structures	Incorrect
MC	<p>ada6_3eda</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix, whereas double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix	Incorrect	uracil in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of thymine in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	Both double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> and double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> have major and minor grooves	Incorrect	<strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> contains one less hydroxyl (-OH) group than <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong>	Correct
MC	<p>b8e9_8441</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: MediumBlue;">DNA</span></strong> is made of nucleotides, <strong><span style="color: OrangeRed;">RNA</span></strong> is made of amino acids	Incorrect	the <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> sugar is ribose, <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a different sugar	Correct	<strong><span style="color: OrangeRed;">RNA</span></strong> has a regular consistent structure	Incorrect	<strong><span style="color: OrangeRed;">RNA</span></strong> is usually double-stranded (duplex), whereas <strong><span style="color: MediumBlue;">DNA</span></strong> is usually single-stranded (simplex)	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> has major and minor grooves, double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect
MC	<p>f765_366f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	the <strong><span style="color: MediumBlue;">DNA</span></strong> sugar is dexoyribose, <strong><span style="color: OrangeRed;">RNA</span></strong> has a different sugar	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> have a negative charge	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> is made of nucleotides, <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> is made of amino acids	Correct	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of uracil in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect
MC	<p>f765_3115</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	<strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> has a negative charge, <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a positive charge	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex)	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	thymine in <strong><span style="color: MediumBlue;">DNA</span></strong> takes the place of uracil in <strong><span style="color: OrangeRed;">RNA</span></strong>	Incorrect	double-stranded <strong><span style="color: MediumBlue;">DNA</span></strong> is mostly in the B-form helix, whereas double-stranded <strong><span style="color: OrangeRed;">RNA</span></strong> is mostly in the A-form helix	Incorrect
MC	<p>ad95_8a66</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	the <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> sugar is ribose, <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a different sugar	Correct	<strong><span style="color: MediumBlue;">DNA</span></strong> nucleotides have a 2&prime; hydroxide (-OH) group, <strong><span style="color: OrangeRed;">RNA</span></strong> does not	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> have a positive charge	Incorrect	uracil in <strong><span style="color: OrangeRed;">RNA</span></strong> takes the place of cytosine in <strong><span style="color: MediumBlue;">DNA</span></strong>	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is made of nucleotides, <strong><span style="color: OrangeRed;">RNA</span></strong> is made of amino acids	Incorrect
MC	<p>fdc5_5d77</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> concerning differences between <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> have a negative charge	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> has a regular consistent structure, whereas <strong><span style="color: OrangeRed;">RNA</span></strong> adopts a wide variety of tertiary structures	Incorrect	Both <strong><span style="color: MediumBlue;">DNA</span></strong> and <strong><span style="color: OrangeRed;">RNA</span></strong> can form a double-stranded helix	Incorrect	<strong><span style="color: MediumBlue;">DNA</span></strong> is usually double-stranded (duplex), whereas <strong><span style="color: OrangeRed;">RNA</span></strong> is usually single-stranded (simplex)	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">DNA</span></strong></span></strong> has a sugar-phosphate backbone, <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">RNA</span></strong></span></strong> does not	Correct
